created_at,profile_image_url,description,location,username,name,followers_count,following_count,tweet_count,listed_count,topic_id,twitter_user_id
"2009-09-05T12:50:12.000Z","https://pbs.twimg.com/profile_images/721709393767628800/t1dU9_iU_normal.jpg","Words don't come easy. imagolog@gmail.com 팟캐스트 김혜리의 필름클럽@SBS, 조용한 생활@팟빵","Seoul","imagolog","Haery KIM","111084","196","6773","551","11","71793919"
"2008-10-30T06:45:26.000Z","https://pbs.twimg.com/profile_images/1511720226920222723/VQ86vETC_normal.jpg","Freelance writer, editor and content strategist focusing on travel, wellness, luxury and sustainability. @LUXECityGuides @Ricefolk @HealthyHKG @MissFongInHK ✌️","Hong Kong","wafflerica","Erica Fong","3467","1712","3425","70","11","17061303"
"2007-04-15T07:33:26.000Z","https://pbs.twimg.com/profile_images/1429471213445730312/jXZL9aY3_normal.jpg","Tatler Hong Kong Deputy Editor & Tatler Homes Editor, Hong Kong @tatlerasia | previously freelance features producer @CNN, staff writer HK Magazine | views mine","Hong Kong","andreas_lo","Andrea Lo 盧敏敏","3881","2482","3075","118","13","4688401"
"2009-05-29T07:47:59.000Z","https://pbs.twimg.com/profile_images/800737559265484800/SVnw3MnA_normal.jpg","CEO of content nobody asked for","Singapore","plspreeti","prEEtipls","20217","299","21686","56","12","43293373"
"2009-04-02T21:58:14.000Z","https://pbs.twimg.com/profile_images/1355046429367152642/-7uyhLbm_normal.jpg","Freelance journalist: editing @semafor + writing longreads. Earlier @BBCNewsAsia, @AFP's SE Asia correspondent via BBC London + @IndianExpress in New Delhi.","London, England","PreetiJha","Preeti Jha","4115","3994","1976","132","13","28430142"
"2011-02-06T01:39:24.000Z","https://pbs.twimg.com/profile_images/378800000433707998/17c4f649d19654a09357d583a2ca58e7_normal.jpeg","Author of the Punji Trap. Reporter covering much of Asia. Moonlights as an academic in war, media and international relations. @Diplomat_APAC","Hong Kong - Phnom Penh","lukeanthonyhunt","Luke Hunt","19179","2715","3612","256","13","248001658"
"2009-07-09T09:36:26.000Z","https://pbs.twimg.com/profile_images/1582179661966381058/_X2k9SvC_normal.jpg","Southeast Asia Editor at @Diplomat_APAC. Author of IN THE DRAGON’S SHADOW (https://t.co/8O3IV7E78T) and HUN SEN’S CAMBODIA (https://t.co/pdYCsY6Evm).","Adelaide, Australia","sstrangio","Sebastian Strangio","14353","1575","16009","306","13","55191191"
"2010-12-21T03:42:08.000Z","https://pbs.twimg.com/profile_images/1233468117331914752/I6ZQiWLI_normal.jpg","Editor at @kiripost and do a little bit of stringing for @Reuters in Phnom Penh. Send me story tips to prak dot chanthul at gmail dot com","Cambodia","prakchanthul","Chan Thul Prak","18370","3904","5812","245","13","228948446"
"2019-03-22T07:56:21.000Z","https://pbs.twimg.com/profile_images/1109001935200227328/4QgsHQIK_normal.jpg","♥️ これは私の唯一のTwitterです。 ins：Shika.xiaolu_lu 写真本&电子写真Fantia通販中https://t.co/rMEBqYOAEV 中文版电子图：https://t.co/yCEo60rzAs","Tokyo-to, Japan","Shika42516408","Shika🦌","181213","81","586","924","5","1109000851358519296"
"2010-01-01T04:16:01.000Z","https://pbs.twimg.com/profile_images/1838376613/__m_normal.jpg","gente común","Tokyo Japan","veracruz777","veracruz","13367","4708","249919","136","4","100899292"
"2013-06-26T13:02:47.000Z","https://pbs.twimg.com/profile_images/1518030655728373762/xH03eK31_normal.jpg","Lawyer & Hong Kong human rights activist | Fellow, @GeorgetownCAL | Hong Kong Law & Policy Substack | Former HK political prisoner still fighting for justice","Washington, DC","SamuelBickett","Samuel Bickett","21572","389","1859","73","11","1548159062"
"2013-08-10T09:13:21.000Z","https://pbs.twimg.com/profile_images/1512060209476235286/7lBKsuAJ_normal.jpg","An affable young man living in Japan. 🎥. Creator of Abroad in Japan Youtube Channel (2M Subscribed) 🎞","Tohoku, Japan","AbroadInJapan","Chris Broad","430519","211","9211","668","7","1659679688"
"2009-05-30T21:21:47.000Z","https://pbs.twimg.com/profile_images/1528374271407378434/cngzQWHr_normal.jpg","Welsh 🏴󠁧󠁢󠁷󠁬󠁳󠁿 Voice Actor & YouTuber. @Elgato Partner // Email:  cdawgvapr@geexplus.co.jp //
I stream sometimes at https://t.co/U3F54jxYic","Tokyo, Japan.","CDawgVA","Connor","887660","934","21518","883","10","43596071"
"2010-12-19T19:38:07.000Z","https://pbs.twimg.com/profile_images/1550792184269398016/n54PZMTd_normal.jpg","Yes my name is Garnt. I talk about anime for a job. Business Inq: giggukpr@geexplus.co.jp","undefined","GiggukAZ","Gigguk","851405","611","6360","918","8","228456219"
"2021-07-09T13:55:47.000Z","https://pbs.twimg.com/profile_images/1413499365453225989/Xc4Xmzy-_normal.jpg","Always thinking about Lunch.","Japan","gourmetmei","Meilyne","133017","333","779","126","5","1413497060058288135"
"2013-08-07T00:40:10.000Z","https://pbs.twimg.com/profile_images/1565723193679425537/3EbhsPku_normal.jpg","Founder @nonsensejapan // 1/3 @trashtastepod // My music @ikurru // Business: theanimemanpr@geexplus.co.jp","Japan","TheAn1meMan","Joey Bizinger","942970","399","4929","1047","8","1651594488"
"2014-01-08T01:32:27.000Z","https://pbs.twimg.com/profile_images/1480047827053314053/Ftjw323G_normal.jpg","hey friends 👋 ヤッホー","Japan","akidearest","Akidearest","548068","474","1596","608","8","2281401692"
"2021-03-15T14:12:48.000Z","https://pbs.twimg.com/profile_images/1638849565976858624/qvRYzoqf_normal.jpg","fan acct :)🧚 #DonBelle: my home.🐨","1998 ♡ 2002","donbelleluvver","Berna🦖","4439","268","69128","7","12","1371464233469177860"
"2022-05-09T09:35:18.000Z","https://pbs.twimg.com/profile_images/1639878587062042626/xNWLYTNK_normal.jpg","#𝑫𝒐𝒏𝑩𝒆𝒍𝒍𝒆, 𝒕𝒂𝒏𝒈𝒊𝒏𝒈 𝒑𝒂𝒉𝒊𝒏𝒈𝒂˙ᵕ˙
@donnypangilinanᥫ᭡@bellemariano02","tink♡nato","donstutoch4ever","𝙇𝙞𝙯𝙯ᥫ᭡","2747","882","29844","1","12","1523597389801549825"
"2009-08-07T12:07:22.000Z","https://pbs.twimg.com/profile_images/1225323427759681536/Py9bVe8J_normal.jpg","cute","undefined","mainedcm","Maine Mendoza","6728407","355","4558","1698","12","63701775"
"2016-11-28T11:32:08.000Z","https://pbs.twimg.com/profile_images/1581933763751448576/2NEkOm_i_normal.jpg","luke 1:37❤️","Cagayan De Oro City, Northern Mindanao","maymayentrata07","Maymay","2843262","163","2781","161","5","803199792369180673"
"2018-05-03T08:32:32.000Z","https://pbs.twimg.com/profile_images/1601622348473724929/QWA4MtZ6_normal.jpg","🤍","undefined","ZeinabHarake11","Zebby","7392941","84","628","145","5","991958674909286400"
"2018-05-26T04:17:41.000Z","https://pbs.twimg.com/profile_images/1610506599982071810/ZlTY07hW_normal.jpg","business.mikasalamanca@gmail.com","undefined","mikslmnc","Mika Salamanca","3978529","1240","18354","146","10","1000229461856530432"
"2012-07-06T23:22:18.000Z","https://pbs.twimg.com/profile_images/1630858693888860160/IfSycB-1_normal.jpg","","kusina","MissMarisRacal","Maris Racal","3912087","551","14396","265","12","628808642"
"2019-10-04T23:22:52.000Z","https://pbs.twimg.com/profile_images/1530577523196985344/BCfPtdSq_normal.jpg","💦","undefined","princess_thea14","baby_thea","1335956","14","2167","37","12","1180262001253089280"
"2010-06-03T18:00:37.000Z","https://pbs.twimg.com/profile_images/1447931063037222917/IbFzigWY_normal.jpg","🇮🇩 Indonesia's Chess Professional ▪️🏆 Two-time Asian Champion ▪️👩‍🎓 M.A. Webster Uni '17 ▪️FORBES 30 Under 30 Honoree","Jakarta Capital Region","irene_sukandar","Irene Sukandar","23777","405","3138","80","14","151561894"
"2015-03-15T17:41:33.000Z","https://pbs.twimg.com/profile_images/1101437058504118277/Sdp8k9b3_normal.png","Indian Chess Grandmaster.
All views expressed are personal.
https://t.co/mdzVu7KLnp
https://t.co/2fkKPnzfkv…","Chennai","adhibanchess","Adhiban Baskaran","28829","510","1050","232","14","3086225424"
"2013-09-20T12:41:47.000Z","https://pbs.twimg.com/profile_images/883948350726299652/M4SZlw7b_normal.jpg","Asian Champion🥇National🥇🥇Commonwealth Champion🥇🥇🥇World Team🥈Olympiad Team🥉Olympiad individual 🥉🥉Arjuna Awardee. Red Bull Athlete. Commentator. 🇮🇳","undefined","TaniaSachdev","Tania Sachdev","63778","198","5432","629","14","1886392608"
"2011-07-22T11:25:12.000Z","https://pbs.twimg.com/profile_images/1595845069088559104/q8JiTmGx_normal.jpg","#uew booking: robb@supermodifiedagency.com","Outerspace","DJRayRay_Taiwan","R҉A҉L҉I҉E҉N҉I҉N҉J҉A҉","5084","889","7842","40","16","340244679"
"2011-12-06T21:38:27.000Z","https://pbs.twimg.com/profile_images/1179607157051805697/5p8bjk-f_normal.png","I'm Japanese. live in Japan I use high performance translation because I don't understand English.
Inaccurate translations may be included.
I watch PewDiePie","Kobe Japan","woiiw","🇯🇵Naoemon Japan","101845","40831","2578","208","10","430192464"
"2015-12-23T01:08:08.000Z","https://pbs.twimg.com/profile_images/1385375263941304328/jAZlcG-p_normal.jpg","I help people learn languages well. Especially Japanese. 150K subs on YouTube.

Business inquiries: business@mattvsjapan.com","大阪","mattvsjapan","Matt vs Japan","13174","354","2278","78","15","4634333330"
"2020-12-12T04:11:28.000Z","https://pbs.twimg.com/profile_images/1338269180525649921/kAPA4Xxb_normal.jpg","Check out my YouTube channel I made to show the British how it’s done https://t.co/AxT6SS9Z1f","undefined","ryotarosjapan","Ryotaro’s Japan","26815","33","214","47","10","1337610818649636864"
"2018-07-21T12:09:57.000Z","https://pbs.twimg.com/profile_images/1625104943534444546/33D5VYU-_normal.jpg","Tiktok | Twitch | Cosplay 🫡 enjoy your Sunday! if it’s not Sunday then too bad for u","ig: rurusama9","rurusama9","RURUSAMA9 🖤 KIRBYRURU 🌱","88573","326","3911","79","5","1020642030840569856"
"2018-05-05T07:06:06.000Z","https://pbs.twimg.com/profile_images/1433043342493847553/vYIVBf0D_normal.jpg","I’m RuRu, a piano youtuber from Taiwan, making piano covers and sheets of Anime&Game music.🎹 Youtube🔍Ru’s Piano","undefined","ruruspiano","Ru's Piano Ru味春捲","15367","51","431","47","5","992661699009306624"
"2018-06-20T11:45:18.000Z","https://pbs.twimg.com/profile_images/1539510290681069569/Xvbt0UeC_normal.jpg","","🔕 Do not use/repost my works","SS_utr3N","てけ","19403","36","3159","106","8","1009401802603704320"
"2021-06-22T10:55:48.000Z","https://pbs.twimg.com/profile_images/1516253646027386888/IgaGBXGu_normal.jpg","Chief Operating Officer @KyrosVentures, @coin68. Partner at @Ancient8_gg, Ex-@HuobiGlobalVN. #WomenInCrypto #Blockchain and I have 8 cats 🐱","undefined","jennykyros68","Jenny Nguyen","12367","130","202","71","14","1407290260791316480"
"2021-11-03T04:01:53.000Z","https://pbs.twimg.com/profile_images/1591750608813686784/I2AkMP7y_normal.jpg","Head of Social Operations @Kucoincom
Founder @raremints_

IG: https://t.co/OvE8uBL17x","undefined","timmtsai","Tim Tsai","18493","198","316","6","9","1455747005850869769"
"2018-07-12T04:55:37.000Z","https://pbs.twimg.com/profile_images/1485522462981103618/5FUckcP-_normal.jpg","Virtual Human / from Tokyo / Fashion Model & Producer / English account : @imma__en 🧠⚡️💘","現実と空想の狭間","imma__jp","imma","10908","159","1389","68","5","1017271237762953216"
"2016-04-21T18:58:39.000Z","https://pbs.twimg.com/profile_images/1516264802095546368/1b9gmoA6_normal.jpg","Former TV host turned $BGB hodler, world traveler. ✈️

MD @bitgetglobal 🫡 #Bitget

Writing daily #crypto insights with tips on personal growth and finance. ✍️","Bitget Global","GracyBitget","Gracy Chen","196909","206","925","54","9","723224444752158720"
"2019-05-10T16:44:23.000Z","https://pbs.twimg.com/profile_images/1602763787018174464/d3du863n_normal.jpg","Head of Pear X @pearvc 🍐
Previously Product @doordash, @uber, @cameo, @a16z 💻
@stanfordgsb / @ycombinator W20 🌲","undefined","joandthezhus","Jo Zhu 🍊","4282","1669","515","71","9","1126890737809772544"
"2010-03-22T14:41:46.000Z","https://pbs.twimg.com/profile_images/1560934904653029376/cdOXlZ3N_normal.jpg","Managing Director @tzapac | #WomenofWeb3 | #Buidl on Tezos with us at https://t.co/35DvOb5J8e","KL - JKT - MEL - SG","kathyjah","Katherine Ng","2574","2095","6358","55","9","125350320"
"2010-02-01T03:55:22.000Z","https://pbs.twimg.com/profile_images/1470821655647715328/X1JS-Sp-_normal.jpg","Managing Partner @ambergroup_io. Previously: @airswap | @deutschebank | @carnegiemellon alum","Singapore","_annabellehuang","Annabelle Huang","3928","673","424","68","14","110318853"
"2009-12-08T06:59:06.000Z","https://pbs.twimg.com/profile_images/1633000692179963905/T9MngELI_normal.jpg","🇲🇾. your #web3 mom. Founder @8sianNFT | Advising @8consultant | #bitcoin #NFA","Metaverse","8sianmom","8sianmom📍NFTLA🇺🇸","10125","2447","10729","41","9","95370227"
"2009-05-08T10:07:01.000Z","https://pbs.twimg.com/profile_images/1612328451259912197/Al7k9qxs_normal.jpg","I love to chew on chutoro 🍣 

💼 Business Development @projectPXN 
🖋️ Web3 writer 
👸Co-founder of @web3womensg
🏅Pokemon trainer","Paldea Region","Chewtoro","Chewtoro","54408","2357","16103","221","5","38639301"
"2022-01-23T10:44:41.000Z","https://pbs.twimg.com/profile_images/1598473890678059008/0F2OYUuz_normal.jpg","Certified AMA Host / Builder 👑💫 IVY AMBASSDOR @BBRCOfficial x IVYBOYS Team @MemoticsNFT 🤍","BKK / THAILAND","MsF0m0","Boquet 🥨🥖🥯","8955","2387","9279","18","5","1485201703347830790"
"2021-09-13T12:52:42.000Z","https://pbs.twimg.com/profile_images/1638989151130484736/_TGu58qt_normal.jpg","I’m just a human bean-ing | Full-Time Dreamer, Sometimes Artist ✨ | Co-Founder: @sgnftcreators @web3womensg 🇸🇬 | Prev @metajamasia @shop_defi","Singapore","ellaces","ellaces.eth 🍒🧙🏻‍♂️","2754","1503","10407","16","3","1437398777409671168"
"2016-02-02T03:01:19.000Z","https://pbs.twimg.com/profile_images/1549285033206513665/ur-rNBhq_normal.jpg","Co-founder and Editor-in-Chief of @PANONYgroup @panewsCN, @ForbesUnder30 2020","Shanghai，China","tongtongbee","Tongtong Bee 🐝","7230","1169","1049","123","9","4847257392"
"2012-11-11T00:12:01.000Z","https://pbs.twimg.com/profile_images/1616500437318000640/yCe-XOOw_normal.jpg","🌏 Uplifted 2 million+ lives via online education 
✨ $8M product launch revenue @mindvalley 
💜 Sharing insights on A.I., Productivity and Life Freedom","Singapore","zenaschin","Zenas Chin 🔮","1466","977","4532","31","15","940225472"
"2015-11-05T15:25:22.000Z","https://pbs.twimg.com/profile_images/1575894288462143489/lsuPeQpJ_normal.jpg","Team @0xbrotherhood｜Building @HomiClub","she/her","stylebymandii","Amanda","15776","484","5712","12","5","4136277854"
"2022-01-21T12:23:41.000Z","https://pbs.twimg.com/profile_images/1558486422734372864/NGXq9qUI_normal.jpg","𝐖𝐞𝐛 2.5 𝐀𝐫𝐭𝐢𝐬𝐭 / 𝐁𝐮𝐢𝐥𝐝𝐞𝐫 ♡ CM @Hertz_city ♡ Mod @zoofrenzNFT ♡ Ambassador @RedactedCorp ♡ Team @0xKoiPond @VOMOcorp || @ByAnons @0xbrotherhood","Hong Kong","kahei_art","Ka Hei :›","4384","2752","5510","21","3","1484501868525264896"
"2015-10-31T11:29:21.000Z","https://pbs.twimg.com/profile_images/1543841716221775872/VgkUSgfj_normal.png","We are an English couple who have decided to leave the country to #explore and experience the real world! Currently living the digital nomad life in SE Asia!","Vietnam","two_tall_travel","Two Tall Travellers","2738","1803","4706","66","7","4079163014"
"2015-09-21T12:42:34.000Z","https://pbs.twimg.com/profile_images/645945639776350208/3ZlPmjRJ_normal.png","A Guide to Stylish Living
#BlackHistoryMonth
#BlackLivesMatter
#BlackVoicesMatter
#LGBTHM21","undefined","laviezine","La Vie Zine","5667","2946","50339","19","7","3637843213"
"2009-08-16T14:54:07.000Z","https://pbs.twimg.com/profile_images/1293257471687979008/lfWrHOG2_normal.jpg","PR & Marketing , Artist Manager ❤","ÜT: 13.76149,100.580847","inkmodel","Inkmodel","14365","1247","7149","9","3","66126858"
"2009-09-09T16:18:56.000Z","https://pbs.twimg.com/profile_images/1559341391406579714/BO8ZDxoc_normal.jpg","Splitting my time between a 4-day work week and a 3-day weekend travelling. Writer at @ThaiTrainGuide and editor at @ThaiNewsReports.","Paknam, Samut Prakan, Thailand","RichardBarrow","Richard Barrow","203694","198","106318","2414","7","72888855"
"2007-04-06T13:03:38.000Z","https://pbs.twimg.com/profile_images/751132689873375232/kWzWrtTw_normal.jpg","Personal account of @SaksithCNA, @ChannelNewsAsia Thailand Correspondent. More busy on my work account. Nordisch by Nature. Views are personal.","Bangkok, Thailand","Saksith","Saksith Saiyasombut","18976","772","46081","577","13","3618041"
"2010-02-21T09:23:02.000Z","https://pbs.twimg.com/profile_images/1339748460753526784/mnnsnQvX_normal.jpg","Thai woman, incorrigible teaser of Thai society and politics 👻. Animal lover, occasional misanthrope.","Thailand 4.0","Thai_Talk","kaewmala 🌻🌻 .|||.","40493","1073","179710","492","11","116141566"
"2011-05-14T11:34:11.000Z","https://pbs.twimg.com/profile_images/1103331324868190209/djmn_MZ0_normal.jpg","Photozombie for @AFP in Thailand. Apathetic Gooner. Mother of Pigeons. RTs probably endorsements, but not always. they/them/pidge","Bangkok, Thailand","TheLilyfish","Lillian Suwanrumpha","5469","3543","17529","208","13","298478363"
"2009-10-21T13:11:47.000Z","https://pbs.twimg.com/profile_images/1385480103283466242/4M1ZwIzs_normal.jpg","ปิ๊ง ฐิตาภา สิริพิพัฒน์ - Journalist / Author #HowToBeSingleInBKKCity #WomenInTech #WomensRight supporter ☎️ Work (Line ID : @jurysiri)","BKK,Thailand","Pink_Siripipat","Thitapa Siripipat","19878","598","35436","93","9","84077357"
"2010-03-17T15:58:51.000Z","https://pbs.twimg.com/profile_images/1448978031129743364/fpvToTmM_normal.jpg","Director of Progressive Movement Foundation - Former MP - Deputy Leader of Future Forward Party - Consultant - views are my own","Bkk, thailand","Kunthida_FWP","Kunthida R.","96368","553","6617","102","14","123907907"
"2020-02-01T05:08:19.000Z","https://pbs.twimg.com/profile_images/1612735112231411720/Gr6YpDeP_normal.jpg","Award-winning digital & broadcast journalist | Cover: civil rights, politics, global news, gender | Translator l วศินี พบูประภาพ พลอย👩🏽‍💻","undefined","WPabuprapap","Wasinee P.","36661","622","9300","105","13","1223473075057881096"
"2011-10-23T05:20:26.000Z","https://pbs.twimg.com/profile_images/1465886328541773825/KOKKCayk_normal.jpg","#KongGreenGreen แชร์เรื่องแยกขยะบ้าง การเมืองบ้าง นู่นนี่นั่นบ้าง","undefined","kongchanut","Kong Chanut","14473","341","3432","21","10","396371797"
"2009-08-23T16:27:11.000Z","https://pbs.twimg.com/profile_images/1537990619649351680/dmXZtEnT_normal.jpg","Avocado Books Co-founder | TV host | Actor | Writer l traveler | podcaster | เลิกเรียกครูได้แล้วววว | Work: jakkriz@gmail.com, Line: jakkriz","Thailand","JakkritTomTom","ทอมทอม เลิกเรียกครูเถอะครับบบ","291243","2038","156573","161","12","68178222"
"2018-07-09T03:30:45.000Z","https://pbs.twimg.com/profile_images/1016162906566586368/kyJPKXIf_normal.jpg","ทำให้เรื่อง #ภาษี #บัญชี #การเงิน เป็นเรื่องสนุก และทวิตเรื่องที่อยากเล่า จะติดตามก็ได้ ไม่ติดตามก็ได้ แต่ถ้าติดต่องาน : conTAXBugnoms@gmail.com","Thailand","TAXBugnoms","TAXBugnoms","85036","0","4671","92","14","1016162716434640896"
"2009-11-01T04:11:13.000Z","https://pbs.twimg.com/profile_images/1116359067553787904/d5xjfM91_normal.jpg","คนสอนหนังสือ รัฐศาสตร์ ธรรมศาสตร์/ วิชาการ ประวัติศาสตร์ การเมือง การศึกษา วรรณกรรม หนังสืบสวน Jazz ลิเวอร์พูล","undefined","bkksnow","prajak kong","349852","1741","9588","260","15","86658130"
"2014-06-29T02:21:47.000Z","https://pbs.twimg.com/profile_images/1041887012272234496/ckU51V19_normal.jpg","Life is too short , Creative Director Advertising agency , CEO,Founder :@catsterClub , @Kingdomoftigers Volunteer, Traveller around the world","undefined","nutchlimited","Mali","24538","1487","47073","11","7","2594068573"
"2016-02-15T19:22:03.000Z","https://pbs.twimg.com/profile_images/1493593489971593220/9L__5LGU_normal.jpg","ไม่ได้เป็นนักข่าว แค่ชอบเสือก","พระนคร, กรุงเทพมหานคร","sayompoo_eric"," Eric 💛🇹🇭 รักสถาบัน ( not all ทุกทวิต )","46590","1422","95989","47","13","4912566457"
"2014-01-11T14:42:31.000Z","https://pbs.twimg.com/profile_images/1585700390091517952/zfPptoQp_normal.jpg","| การออมการลงทุน | ครูญี่ปุ่น | รีวิว | ให้คำปรึกษาด้านประกันทุกชนิดฟรี | ใบอนุญาตแนะนำการลงทุน #MDRT2022 #MDRT2023 #AgentOfTheYear2021
#EaaawInvestment 👈","ติดต่องานทางไลน์ @Eaaaw (มี@)✌","Eaaaw","Eaaaw","105040","1128","93415","94","15","2286750120"
"2016-07-10T03:31:43.000Z","https://pbs.twimg.com/profile_images/1566201754622087168/FGrQ2403_normal.jpg","🇧🇷(🇰🇷/🏳️‍🌈). criador de conteúdo, pai de lagostinhas, amo prantinhas, gosto de uns animes, curioso sla etc. contato@victorhan.com.br","Sao Paulo, Brazil","victorrhan","Victor Han","119944","844","30650","35","10","751982203018543104"
"2008-10-19T14:32:12.000Z","https://pbs.twimg.com/profile_images/1569925260946059265/Ylip5vop_normal.jpg",""คิดถึงเทคโนโลยี คิดถึงซี" I https://t.co/z4dXt8ys2r I ติดต่องาน LINE OA : @ceeforwork","Bangkok,Thailand","ceemeagain","ceemeagain","373258","1814","14109","1334","1","16851578"
"2008-01-19T07:10:28.000Z","https://pbs.twimg.com/profile_images/799189859730472961/qFxuV_Gm_normal.jpg","Founder, Kafedam Group, Co-founder of Nation Multimedia Group, Bangkok, Thailand.","undefined","suthichai","suthichai","3103552","2824","114076","5364","1","12425692"
"2009-02-22T02:46:30.000Z","https://pbs.twimg.com/profile_images/1575354126908915713/eRIa4q07_normal.jpg","WOODYTALK - WOODY FM","Bangkok","Woodytalk","WOODY","3338937","1153","20823","3520","1","21539210"
"2009-07-12T18:33:07.000Z","https://pbs.twimg.com/profile_images/1253714477943406592/MZlz5d66_normal.jpg","ดร.ปานระพี รพิพันธุ์ PhD (Information Technology),TV presenter, MC, Founder of iT24Hrs (TV, online) Lecturer / IG, tiktok, CH @panraphee /for jobs 080-2345023","Bangkok, Thailand","panraphee","Panraphee ปานระพี","1326427","183","35862","1448","1","56156439"
"2009-06-26T00:42:27.000Z","https://pbs.twimg.com/profile_images/1624426699978076163/wizFdg11_normal.jpg","Sportscaster,Thailand. Liverpool FC supporter. https://t.co/EYp6RENPMW My IG : @ninanaka","Bangkok ","ninanaka","NINA ◡̈ ♡","718092","708","81941","1122","1","50845248"
"2017-09-09T00:18:15.000Z","https://pbs.twimg.com/profile_images/1555545499297452033/rHndNKVe_normal.jpg","GMMTV | Artist","กรุงเทพมหานคร, ประเทศไทย","dew_jsu","Dewjsu","913623","34","452","406","12","906310748564971520"
"2010-08-24T07:12:23.000Z","https://pbs.twimg.com/profile_images/928946929353887744/gbJMwErC_normal.jpg","เป็นนักแสดง เป็นนักร้อง เป็นหมอ เป็นให้เธอได้ทุกทุกอย่างแต่ไม่ได้เป็นตัวจิ๊ง , ☁️ for work : 092-2966978 (k.pear)","Bangkok, Thailand","PuimekSter","ปุยเมฆสะเต้อ","739209","416","92372","263","5","182279606"
"2010-05-02T12:24:32.000Z","https://pbs.twimg.com/profile_images/1527095252753887233/13IEuMhY_normal.jpg","มุก วรนิษฐ์ ถาวรวงศ์ / GmmTV","Bangkok, Thailand","MookWorranit","Mook Worranit","1452913","424","60292","291","12","139379061"
"2015-01-15T04:02:38.000Z","https://pbs.twimg.com/profile_images/1605791014173966336/MoVatCex_normal.jpg","For work : 092-424-9236 (K.note) Line : @charcri42 Founder of @nudies_official","undefined","FiatAngelo","FIAT","1493677","150","20444","618","12","2983484922"
"2014-02-02T17:43:07.000Z","https://pbs.twimg.com/profile_images/989743531458637825/WRw3Ic36_normal.jpg","Contact For Work: 091-914-6566 (P'yuii)","undefined","ssingss","Ssing Cheewagaroon","1107913","202","14667","666","12","2324101986"
